Ticker,Date/Time,Open,High,Low,Close,Volume
^JKIDX30,4/24/2012,358.01,360.02,357.00,358.94,687080000
^JKIDX30,4/25/2012,358.88,358.88,356.00,357.35,621680000
^JKIDX30,4/26/2012,357.37,361.85,357.32,359.55,829750016
^JKIDX30,4/27/2012,359.60,360.44,356.94,357.52,640840000
^JKIDX30,4/30/2012,357.53,359.11,354.86,359.05,763619968
^JKIDX30,5/1/2012,359.10,360.56,357.96,360.56,490870016
^JKIDX30,5/2/2012,360.62,363.10,360.15,362.74,800049984
^JKIDX30,5/3/2012,362.64,363.10,360.20,362.19,624110016
^JKIDX30,5/4/2012,362.21,364.04,360.62,361.79,566300032
^JKIDX30,5/7/2012,361.75,361.75,353.85,357.08,718160000
^JKIDX30,5/8/2012,357.12,359.20,356.28,358.58,606590016
^JKIDX30,5/9/2012,358.45,358.45,352.33,353.23,611529984
^JKIDX30,5/10/2012,353.17,354.90,351.77,353.79,495060000
^JKIDX30,5/11/2012,353.75,353.75,350.28,351.94,512760000
^JKIDX30,5/14/2012,351.89,352.51,346.67,347.30,496729984
^JKIDX30,5/15/2012,344.37,350.27,342.95,347.09,908659968
^JKIDX30,5/16/2012,342.43,342.43,336.03,341.32,974579968
^JKIDX30,5/21/2012,338.11,338.18,333.22,335.46,1020000000
^JKIDX30,5/22/2012,338.67,343.46,338.44,342.88,1090000000
^JKIDX30,5/23/2012,340.31,340.96,336.10,340.47,827400000
^JKIDX30,5/24/2012,339.88,341.26,337.87,340.30,1020000000
^JKIDX30,5/25/2012,337.91,338.14,330.50,331.76,857900032
^JKIDX30,5/28/2012,327.94,334.71,325.69,332.86,510340000
^JKIDX30,5/29/2012,331.77,334.33,330.06,333.22,451009984
^JKIDX30,5/30/2012,332.41,335.93,330.70,335.01,535640000
^JKIDX30,5/31/2012,330.06,330.63,323.36,325.38,1710000000
^JKIDX30,6/1/2012,324.06,326.70,321.27,322.69,805009984
^JKIDX30,6/4/2012,313.67,316.89,308.13,310.22,1220000000
^JKIDX30,6/5/2012,315.61,318.67,315.09,316.62,924060032
^JKIDX30,6/6/2012,319.11,328.98,318.98,328.87,1680000000
^JKIDX30,6/7/2012,333.58,336.50,327.45,329.28,1440000000
^JKIDX30,6/8/2012,326.87,329.92,326.06,328.91,778489984
^JKIDX30,6/12/2012,328.84,332.00,327.60,331.73,698350016
