Ticker,Date/Time,Open,High,Low,Close,Volume
^JKMBX,5/19/2010,811.90,811.90,779.54,781.91,2430000128
^JKMBX,5/20/2010,782.17,792.16,761.65,771.70,2929999872
^JKMBX,5/21/2010,771.19,771.19,739.90,752.30,2460000000
^JKMBX,5/24/2010,752.46,767.46,749.69,752.47,2809999872
^JKMBX,5/25/2010,752.28,752.28,723.42,726.24,3180000000
^JKMBX,5/26/2010,726.50,779.45,726.50,777.57,4430000128
^JKMBX,5/27/2010,777.41,787.78,754.24,783.10,3760000000
^JKMBX,5/31/2010,783.23,809.00,783.23,807.99,2569999872
^JKMBX,6/1/2010,807.90,807.90,786.57,786.72,2630000128
^JKMBX,6/2/2010,786.85,800.33,785.94,789.88,2860000000
^JKMBX,6/3/2010,790.04,813.16,790.04,812.73,3300000000
^JKMBX,6/4/2010,812.69,817.21,807.43,816.53,2150000128
^JKMBX,6/7/2010,815.76,815.76,779.81,795.86,2030000000
^JKMBX,6/8/2010,795.89,805.06,795.89,804.84,2460000000
^JKMBX,6/9/2010,804.78,808.63,800.11,806.14,2430000128
^JKMBX,6/10/2010,806.27,808.18,797.62,801.43,2010000000
^JKMBX,6/11/2010,801.65,815.60,801.65,810.84,1690000000
^JKMBX,6/14/2010,810.90,818.33,810.90,818.26,1270000000
^JKMBX,6/15/2010,818.33,825.28,817.82,819.48,2310000128
^JKMBX,6/16/2010,819.64,833.93,819.64,828.14,1950000000
^JKMBX,6/17/2010,827.40,840.27,827.40,838.04,2790000128
^JKMBX,6/18/2010,838.10,850.28,838.10,849.23,4329999872
^JKMBX,6/21/2010,849.36,863.69,846.97,851.70,2790000128
^JKMBX,6/22/2010,851.37,856.39,846.03,849.89,1740000000
^JKMBX,6/23/2010,849.66,849.66,839.20,846.94,2800000000
^JKMBX,6/24/2010,846.97,852.80,841.64,843.33,2200000000
^JKMBX,6/25/2010,843.23,854.58,840.39,853.59,1350000000
^JKMBX,6/28/2010,853.65,862.55,853.29,856.46,1700000000
^JKMBX,6/29/2010,856.49,858.18,832.33,838.47,1510000000
^JKMBX,6/30/2010,838.22,846.02,823.91,844.62,1240000000
^JKMBX,7/2/2010,833.55,838.36,828.89,831.90,1080000000
^JKMBX,7/5/2010,832.03,836.36,831.88,834.41,1020000000
^JKMBX,7/6/2010,834.44,844.64,830.78,843.98,1350000000
^JKMBX,7/7/2010,843.94,845.09,838.80,842.46,940390016
^JKMBX,7/8/2010,842.65,852.61,842.65,846.55,2510000128
^JKMBX,7/9/2010,846.65,855.49,845.23,855.46,3400000000
^JKMBX,7/12/2010,854.89,863.66,854.40,859.83,1990000000
^JKMBX,7/13/2010,859.50,865.86,855.93,860.44,1450000000
^JKMBX,7/14/2010,860.50,870.16,860.50,866.24,2260000000
^JKMBX,7/15/2010,865.91,868.36,860.28,867.33,2070000000
^JKMBX,7/16/2010,867.29,871.79,865.19,871.79,1830000000
^JKMBX,7/19/2010,871.70,871.70,858.15,866.75,1500000000
^JKMBX,7/20/2010,866.85,871.66,864.71,871.66,1890000000
^JKMBX,7/21/2010,871.76,877.19,871.14,876.87,2220000000
^JKMBX,7/22/2010,876.96,878.18,871.66,875.31,2240000000
^JKMBX,7/23/2010,875.44,887.87,875.44,884.80,2880000000
^JKMBX,7/26/2010,884.83,891.62,877.18,879.92,2110000000
^JKMBX,7/27/2010,880.01,891.28,880.01,884.97,2020000000
^JKMBX,7/28/2010,884.94,891.81,884.94,889.54,2120000000
^JKMBX,7/29/2010,889.70,901.10,889.28,901.03,2489999872
^JKMBX,7/30/2010,901.00,903.39,888.47,893.13,1950000000
^JKMBX,8/2/2010,893.45,897.51,887.02,889.67,1670000000
^JKMBX,8/3/2010,889.80,897.26,861.24,863.68,2440000000
^JKMBX,8/4/2010,863.74,872.10,859.15,866.04,1590000000
^JKMBX,8/5/2010,866.23,885.68,866.23,885.06,2480000000
^JKMBX,8/6/2010,885.22,891.06,881.31,890.51,2160000000
^JKMBX,8/9/2010,889.53,897.54,889.10,897.49,1660000000
^JKMBX,8/10/2010,897.62,897.72,886.54,889.54,1450000000
^JKMBX,8/11/2010,888.73,890.46,878.48,882.35,1430000000
^JKMBX,8/12/2010,882.00,882.00,869.86,879.37,1340000000
^JKMBX,8/13/2010,879.40,888.12,879.40,887.67,1340000000
^JKMBX,8/16/2010,887.64,890.36,881.61,888.25,1810000000
^JKMBX,8/18/2010,888.50,894.64,886.32,894.11,1900000000
^JKMBX,8/19/2010,894.24,909.47,894.24,906.00,3600000000
^JKMBX,8/20/2010,905.37,908.57,899.71,907.72,2400000000
^JKMBX,8/23/2010,907.62,909.96,904.24,909.74,2300000000
^JKMBX,8/24/2010,909.65,914.35,900.86,905.52,2480000000
^JKMBX,8/25/2010,905.46,911.06,901.67,910.66,2460000000
^JKMBX,8/26/2010,910.53,913.98,907.63,912.41,3420000000
^JKMBX,8/27/2010,912.38,912.38,896.84,901.43,2270000128
