Ticker,Date/Time,Open,High,Low,Close,Volume
^JKSE,7/12/1994,450.00,450.00,450.00,450.00,45264
^JKSE,7/13/1994,453.00,453.00,453.00,453.00,68559
^JKSE,7/14/1994,460.00,460.00,460.00,460.00,113279
^JKSE,7/15/1994,462.00,462.00,462.00,462.00,70358
^JKSE,7/18/1994,462.00,462.00,462.00,462.00,48574
^JKSE,7/19/1994,461.00,461.00,461.00,461.00,40910
^JKSE,7/20/1994,463.00,463.00,463.00,463.00,53574
^JKSE,7/21/1994,461.00,461.00,461.00,461.00,69295
^JKSE,7/22/1994,459.00,459.00,459.00,459.00,69879
^JKSE,7/25/1994,455.00,455.00,455.00,455.00,36185
^JKSE,7/26/1994,454.00,454.00,454.00,454.00,55569
^JKSE,7/27/1994,453.00,453.00,453.00,453.00,35391
^JKSE,7/28/1994,453.00,453.00,453.00,453.00,89707
^JKSE,7/29/1994,451.00,451.00,451.00,451.00,92052
^JKSE,8/1/1994,453.00,453.00,451.00,453.00,7682
^JKSE,8/2/1994,453.00,459.00,453.00,459.00,6010
^JKSE,8/3/1994,459.00,465.00,459.00,465.00,8747
^JKSE,8/4/1994,465.00,469.00,465.00,469.00,94453
^JKSE,8/5/1994,473.00,473.00,469.00,473.00,8518
^JKSE,8/8/1994,472.00,472.00,472.00,472.00,117053
^JKSE,8/9/1994,470.00,470.00,470.00,470.00,67775
^JKSE,8/10/1994,472.00,472.00,472.00,472.00,89090
^JKSE,8/11/1994,474.00,474.00,474.00,474.00,154564
^JKSE,8/12/1994,475.00,475.00,475.00,475.00,66790
^JKSE,8/15/1994,478.00,478.00,478.00,478.00,77369
^JKSE,8/16/1994,484.00,484.00,484.00,484.00,82197
^JKSE,8/18/1994,493.00,493.00,493.00,493.00,142717
^JKSE,8/19/1994,492.00,492.00,492.00,492.00,132920
^JKSE,8/22/1994,492.00,492.00,492.00,492.00,87882
^JKSE,8/23/1994,496.00,496.00,496.00,496.00,89017
^JKSE,8/24/1994,499.00,499.00,499.00,499.00,114978
^JKSE,8/25/1994,503.00,503.00,503.00,503.00,110860
^JKSE,8/26/1994,505.00,505.00,505.00,505.00,123040
^JKSE,8/29/1994,508.00,508.00,508.00,508.00,105789
^JKSE,8/30/1994,509.00,509.00,509.00,509.00,92513
^JKSE,8/31/1994,510.00,510.00,510.00,510.00,103328
^JKSE,9/1/1994,513.00,513.00,513.00,513.00,171173
^JKSE,9/2/1994,516.00,516.00,516.00,516.00,96866
^JKSE,9/5/1994,519.00,519.00,519.00,519.00,80343
^JKSE,9/6/1994,525.00,525.00,525.00,525.00,100948
^JKSE,9/7/1994,532.00,532.00,532.00,532.00,131100
^JKSE,9/8/1994,533.00,533.00,533.00,533.00,162091
^JKSE,9/9/1994,532.00,532.00,532.00,532.00,109315
^JKSE,9/12/1994,521.00,521.00,521.00,521.00,61529
^JKSE,9/13/1994,516.00,516.00,516.00,516.00,107725
^JKSE,9/14/1994,520.00,520.00,520.00,520.00,96340
^JKSE,9/15/1994,522.00,522.00,522.00,522.00,67399
^JKSE,9/16/1994,526.00,526.00,526.00,526.00,134816
^JKSE,9/19/1994,522.00,522.00,522.00,522.00,60032
^JKSE,9/20/1994,522.00,522.00,522.00,522.00,78869
^JKSE,9/21/1994,517.00,517.00,517.00,517.00,94643
^JKSE,9/22/1994,513.00,513.00,513.00,513.00,78393
^JKSE,9/23/1994,513.00,513.00,513.00,513.00,86645
^JKSE,9/26/1994,510.00,510.00,510.00,510.00,55540
^JKSE,9/27/1994,507.00,507.00,507.00,507.00,59867
^JKSE,9/28/1994,502.00,502.00,502.00,502.00,64349
^JKSE,9/29/1994,497.00,497.00,497.00,497.00,63624
^JKSE,9/30/1994,498.00,498.00,497.00,498.00,7770
^JKSE,10/3/1994,498.00,498.00,498.00,498.00,77591
^JKSE,10/4/1994,501.00,501.00,498.00,501.00,6670
^JKSE,10/5/1994,504.00,504.00,504.00,504.00,65021
^JKSE,10/6/1994,511.00,511.00,511.00,511.00,124842
^JKSE,10/7/1994,515.00,515.00,515.00,515.00,105137
^JKSE,10/11/1994,512.00,512.00,512.00,512.00,112526
^JKSE,10/12/1994,511.00,511.00,511.00,511.00,112963
^JKSE,10/13/1994,507.00,507.00,507.00,507.00,53580
^JKSE,10/14/1994,510.00,510.00,507.00,510.00,7374
^JKSE,10/17/1994,511.00,511.00,511.00,511.00,79192
^JKSE,10/18/1994,511.00,511.00,511.00,511.00,155396
^JKSE,10/19/1994,519.00,519.00,519.00,519.00,261479
^JKSE,10/20/1994,519.00,519.00,519.00,519.00,200473
^JKSE,10/21/1994,515.00,515.00,515.00,515.00,174959
^JKSE,10/24/1994,512.00,512.00,512.00,512.00,118387
^JKSE,10/25/1994,515.00,515.00,515.00,515.00,146968
^JKSE,10/26/1994,516.00,516.00,516.00,516.00,98767
^JKSE,10/27/1994,518.00,518.00,518.00,518.00,106555
^JKSE,10/28/1994,516.00,516.00,516.00,516.00,71358
^JKSE,10/31/1994,523.00,523.00,523.00,523.00,90386
^JKSE,11/1/1994,525.00,525.00,525.00,525.00,90741
^JKSE,11/2/1994,524.00,524.00,524.00,524.00,110427
^JKSE,11/3/1994,523.00,524.00,523.00,523.00,11334
^JKSE,11/4/1994,523.00,523.00,521.00,521.00,115972
^JKSE,11/7/1994,518.00,518.00,518.00,518.00,57954
^JKSE,11/8/1994,516.00,516.00,516.00,516.00,57449
^JKSE,11/9/1994,515.00,515.00,515.00,515.00,52319
^JKSE,11/10/1994,514.00,514.00,514.00,514.00,82221
^JKSE,11/11/1994,513.00,513.00,513.00,513.00,100101
^JKSE,11/16/1994,514.00,514.00,514.00,514.00,87038
^JKSE,11/17/1994,512.00,512.00,512.00,512.00,79870
^JKSE,11/18/1994,510.00,510.00,510.00,510.00,109160
^JKSE,11/21/1994,507.00,507.00,507.00,507.00,64650
^JKSE,11/22/1994,499.00,499.00,499.00,499.00,69456
^JKSE,11/23/1994,482.00,482.00,482.00,482.00,96281
^JKSE,11/24/1994,488.00,488.00,488.00,488.00,66953
^JKSE,11/25/1994,488.00,488.00,488.00,488.00,48021
^JKSE,11/28/1994,487.00,487.00,487.00,487.00,41213
^JKSE,11/29/1994,485.00,485.00,485.00,485.00,66552
^JKSE,11/30/1994,483.00,483.00,483.00,483.00,88193
^JKSE,12/1/1994,482.00,482.00,482.00,482.00,86744
^JKSE,12/2/1994,471.00,471.00,471.00,471.00,73035
^JKSE,12/5/1994,471.00,471.00,471.00,471.00,92825
^JKSE,12/6/1994,466.00,466.00,466.00,466.00,53953
^JKSE,12/7/1994,462.00,462.00,462.00,462.00,49193
^JKSE,12/8/1994,461.00,461.00,461.00,461.00,98947
^JKSE,12/9/1994,454.00,454.00,454.00,454.00,84650
^JKSE,12/12/1994,448.00,448.00,448.00,448.00,57532
^JKSE,12/13/1994,447.00,447.00,447.00,447.00,74113
^JKSE,12/14/1994,453.00,453.00,453.00,453.00,81089
^JKSE,12/15/1994,459.00,459.00,459.00,459.00,95418
^JKSE,12/16/1994,459.00,459.00,459.00,459.00,97725
^JKSE,12/19/1994,459.00,459.00,459.00,459.00,149833
^JKSE,12/20/1994,463.00,463.00,463.00,463.00,75414
^JKSE,12/21/1994,466.00,466.00,466.00,466.00,120924
^JKSE,12/22/1994,469.00,469.00,469.00,469.00,144267
^JKSE,12/23/1994,467.00,467.00,467.00,467.00,106548
^JKSE,12/26/1994,466.00,466.00,466.00,466.00,46610
^JKSE,12/27/1994,466.00,466.00,466.00,466.00,16753
^JKSE,12/28/1994,470.00,470.00,470.00,470.00,38375
^JKSE,1/2/1995,470.00,470.00,470.00,470.00,32278
^JKSE,1/3/1995,472.00,472.00,472.00,472.00,29326
^JKSE,1/4/1995,474.00,474.00,474.00,474.00,44894
^JKSE,1/5/1995,478.00,478.00,478.00,478.00,59341
^JKSE,1/6/1995,481.00,481.00,481.00,481.00,244317
^JKSE,1/9/1995,477.00,477.00,477.00,477.00,124285
^JKSE,1/10/1995,469.00,469.00,469.00,469.00,180569
^JKSE,1/11/1995,461.00,461.00,461.00,461.00,117979
^JKSE,1/12/1995,453.00,453.00,453.00,453.00,209574
^JKSE,1/13/1995,442.00,442.00,442.00,442.00,102046
^JKSE,1/16/1995,447.00,447.00,447.00,447.00,86799
^JKSE,1/17/1995,449.00,449.00,449.00,449.00,74085
^JKSE,1/18/1995,450.00,450.00,450.00,450.00,69266
^JKSE,1/19/1995,452.00,452.00,452.00,452.00,66471
^JKSE,1/20/1995,446.00,446.00,446.00,446.00,69281
^JKSE,1/23/1995,436.00,436.00,436.00,436.00,73109
^JKSE,1/24/1995,435.00,435.00,435.00,435.00,60380
^JKSE,1/25/1995,433.00,433.00,433.00,433.00,91530
^JKSE,1/26/1995,434.00,434.00,434.00,434.00,61350
^JKSE,1/27/1995,437.00,437.00,437.00,437.00,62931
